,Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total,RootPosition
1458,"23,24,25,26 January 2019 ",2018/19,2342,"Kensington Oval, Bridgetown, Barbados",2,JM Bairstow,12,17.0,27,0,23,8.6,44,JE Root (c),4.0,14.0,22,0.0,35.0,11.5,60,77.0,4
1460,"23,24,25,26 January 2019 ",2018/19,2342,"Kensington Oval, Bridgetown, Barbados",4,JM Bairstow,30,53.0,90,0,85,28.5,134,JE Root (c),22.0,39.0,64,0.0,134.0,43.5,204,246.0,4
1464,"31 January, 1,2 February 2019 ",2018/19,2344,"Sir Vivian Richards Stadium, North Sound, Antigua",1,JM Bairstow,52,64.0,102,0,4,4.4,22,JE Root (c),7.0,17.0,31,0.0,16.0,9.1,124,187.0,4
1466,"31 January, 1,2 February 2019 ",2018/19,2344,"Sir Vivian Richards Stadium, North Sound, Antigua",3,JM Bairstow,14,17.0,26,0,35,12.1,59,JE Root (c),7.0,13.0,22,0.0,49.0,16.6,116,132.0,4
1471,"9,10,11,12 February 2019 ",2018/19,2346,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,JL Denly,20,50.0,86,0,30,16.1,77,JE Root (c),15.0,54.0,78,0.0,69.0,32.2,156,277.0,4
1473,"9,10,11,12 February 2019 ",2018/19,2346,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",3,JL Denly,69,99.0,163,0,19,10.1,43,JE Root (c),122.0,225.0,317,0.0,73.0,27.1,206,361.0,4
1493,"24,25,26 July 2019 ",2019,2352,"Lord's, London",1,JL Denly,23,28.0,32,0,8,2.4,14,JE Root (c),2.0,7.0,15,0.0,36.0,9.5,52,85.0,4
1498,"1,2,3,4,5 August 2019 ",2019,2353,"Edgbaston, Birmingham",2,JE Root (c),57,119.0,192,0,22,7.2,35,JL Denly,18.0,36.0,54,0.0,154.0,49.6,473,374.0,3
1500,"1,2,3,4,5 August 2019 ",2019,2353,"Edgbaston, Birmingham",4,JE Root (c),28,57.0,97,0,19,9.5,43,JL Denly,11.0,16.0,19,0.0,60.0,21.2,105,146.0,3
1505,"14,15,16,17,18 August 2019 ",2019,2355,"Lord's, London",1,JE Root (c),14,20.0,37,0,0,1.3,7,JL Denly,30.0,67.0,101,0.0,26.0,9.1,174,258.0,3
1507,"14,15,16,17,18 August 2019 ",2019,2355,"Lord's, London",3,JE Root (c),0,1.0,2,0,9,4.1,20,JL Denly,26.0,51.0,67,0.0,9.0,4.2,99,258.0,3
1513,"22,23,24,25 August 2019 ",2019,2357,"Headingley, Leeds",2,JE Root (c),0,2.0,8,0,10,3.5,19,JL Denly,12.0,49.0,77,0.0,10.0,5.1,53,67.0,3
1515,"22,23,24,25 August 2019 ",2019,2357,"Headingley, Leeds",4,JE Root (c),77,205.0,322,0,15,5.6,37,JL Denly,50.0,155.0,237,0.0,15.0,6.3,359,362.0,3
1525,"4,5,6,7,8 September 2019 ",2019,2360,"Old Trafford, Manchester",2,C Overton,5,15.0,22,0,10,6.5,33,JE Root (c),71.0,168.0,255,0.0,25.0,11.3,294,301.0,4
1527,"4,5,6,7,8 September 2019 ",2019,2360,"Old Trafford, Manchester",4,JE Root (c),0,1.0,2,0,0,0.3,3,JJ Roy,31.0,67.0,110,0.0,0.0,0.4,177,197.0,3
1532,"12,13,14,15 September 2019 ",2019,2362,"Kennington Oval, London",1,JE Root (c),57,141.0,218,0,27,8.3,40,BA Stokes,20.0,36.0,45,0.0,103.0,30.5,258,294.0,3
1534,"12,13,14,15 September 2019 ",2019,2362,"Kennington Oval, London",3,JE Root (c),21,26.0,54,0,54,16.3,76,BA Stokes,67.0,115.0,149,0.0,87.0,27.2,295,329.0,3
1549,"21,22,23,24,25 November 2019 ",2019/20,2367,"Bay Oval, Mount Maunganui",1,JL Denly,74,181.0,251,0,52,21.4,92,JE Root (c),2.0,22.0,30,0.0,113.0,45.1,343,353.0,4
1563,"29,30 November, 1,2,3 December 2019 ",2019/20,2371,"Seddon Park, Hamilton",2,JL Denly,4,8.0,14,0,11,6.4,30,JE Root (c),226.0,441.0,636,0.0,24.0,9.5,321,476.0,4
1583,"26,27,28,29 December 2019 ",2019/20,2377,"SuperSport Park, Centurion",2,JL Denly,50,111.0,165,0,11,3.1,15,JE Root (c),29.0,49.0,84,0.0,15.0,4.6,180,181.0,4
1585,"26,27,28,29 December 2019 ",2019/20,2377,"SuperSport Park, Centurion",4,JL Denly,31,79.0,126,0,92,27.6,118,JE Root (c),48.0,101.0,166,0.0,139.0,51.2,216,268.0,4
1590,"3,4,5,6,7 January 2020 ",2019/20,2379,"Newlands, Cape Town",1,JL Denly,38,130.0,189,0,8,2.6,12,JE Root (c),35.0,49.0,62,0.0,63.0,24.5,201,269.0,4
1592,"3,4,5,6,7 January 2020 ",2019/20,2379,"Newlands, Cape Town",3,JL Denly,31,111.0,143,0,28,10.5,50,JE Root (c),61.0,98.0,154,0.0,101.0,43.5,497,391.0,4
1594,"16,17,18,19,20 January 2020 ",2019/20,2380,"St George's Park, Port Elizabeth",1,JL Denly,25,100.0,120,0,70,30.6,135,JE Root (c),27.0,46.0,68,0.0,103.0,48.5,203,499.0,4
1600,"24,25,26,27 January 2020 ",2019/20,2382,"The Wanderers Stadium, Johannesburg",1,JL Denly,27,35.0,46,0,107,32.4,153,JE Root (c),59.0,108.0,176,0.0,116.0,35.1,166,400.0,4
1602,"24,25,26,27 January 2020 ",2019/20,2382,"The Wanderers Stadium, Johannesburg",3,JL Denly,8,15.0,20,0,56,20.4,91,JE Root (c),58.0,96.0,176,0.0,75.0,25.1,157,248.0,4
1625,"16,17,18,19,20 July 2020 ",2020,2389,"Old Trafford, Manchester",1,Z Crawley,0,1.0,1,0,29,13.2,61,JE Root (c),23.0,49.0,80,0.0,29.0,13.3,556,469.0,4
1627,"16,17,18,19,20 July 2020 ",2020,2389,"Old Trafford, Manchester",3,Z Crawley,11,15.0,17,0,1,0.4,4,JE Root (c),22.0,33.0,58,0.0,17.0,4.1,98,129.0,4
1629,"24,25,26,27,28 July 2020 ",2020,2390,"Old Trafford, Manchester",1,JE Root (c),17,59.0,92,0,1,0.6,5,BA Stokes,20.0,43.0,58,0.0,47.0,21.3,212,369.0,3
1631,"24,25,26,27,28 July 2020 ",2020,2390,"Old Trafford, Manchester",3,JE Root (c),68,56.0,77,1,114,40.5,172,,,,,,,,,,3
