,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
115,"12,13,14,15,16 November 2010 ",2010/11,1976,Dubai International Cricket Stadium,3,HM Amla,118,225.0,323,1,47,14.6,318
116,"12,13,14,15,16 November 2010 ",2010/11,1976,Dubai International Cricket Stadium,4,Azhar Ali,63,150.0,186,0,41,13.5,343
117,"15,16,17,18,19 November 2010 ",2010/11,1977,Galle International Stadium,1,DM Bravo,58,159.0,187,0,110,24.5,580
118,"15,16,17,18,19 November 2010 ",2010/11,1977,Galle International Stadium,2,KC Sangakkara (c),73,102.0,150,0,6,1.2,378
119,"15,16,17,18,19 November 2010 ",2010/11,1977,Galle International Stadium,3,KC Sangakkara (c),4,7.0,9,0,102,26.5,241
120,"20,21,22,23 November 2010 ",2010/11,1978,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,LRPL Taylor,20,24.0,48,0,11,6.1,193
121,"20,21,22,23 November 2010 ",2010/11,1978,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,R Dravid,191,396.0,573,0,113,23.1,566
122,"20,21,22,23 November 2010 ",2010/11,1978,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,GJ Hopkins †,8,35.0,50,0,18,8.5,175
123,"20,21,22,23,24 November 2010 ",2010/11,1979,"Sheikh Zayed Stadium, Abu Dhabi",1,HM Amla,4,10.0,8,0,2,1.3,584
124,"20,21,22,23,24 November 2010 ",2010/11,1979,"Sheikh Zayed Stadium, Abu Dhabi",2,Azhar Ali,90,175.0,233,0,2,0.3,434
125,"20,21,22,23,24 November 2010 ",2010/11,1979,"Sheikh Zayed Stadium, Abu Dhabi",3,AB de Villiers,25,29.0,36,0,81,15.2,203
126,"20,21,22,23,24 November 2010 ",2010/11,1979,"Sheikh Zayed Stadium, Abu Dhabi",4,Azhar Ali,28,135.0,183,1,66,20.3,153
127,"23,24,25,26,27 November 2010 ",2010/11,1980,"R.Premadasa Stadium, Khettarama, Colombo",1,KC Sangakkara (c),150,268.0,403,0,10,4.3,387
128,"23,24,25,26,27 November 2010 ",2010/11,1980,"R.Premadasa Stadium, Khettarama, Colombo",2,DM Bravo,80,129.0,181,0,7,2.4,243
129,"23,24,25,26,27 November 2010 ",2010/11,1980,"R.Premadasa Stadium, Khettarama, Colombo",3,KC Sangakkara (c),1,4.0,6,1,55,13.5,57
130,"23,24,25,26,27 November 2010 ",2010/11,1980,"R.Premadasa Stadium, Khettarama, Colombo",4,DM Bravo,0,19.0,20,1,9,4.6,12
131,"25,26,27,28,29 November 2010 ",2010/11,1981,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,IJL Trott,29,53.0,62,0,0,0.3,260
132,"25,26,27,28,29 November 2010 ",2010/11,1981,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,RT Ponting (c),10,26.0,34,0,78,25.2,481
133,"25,26,27,28,29 November 2010 ",2010/11,1981,"Brisbane Cricket Ground, Woolloongabba, Brisbane",3,IJL Trott,135,266.0,362,1,188,66.2,517
134,"25,26,27,28,29 November 2010 ",2010/11,1981,"Brisbane Cricket Ground, Woolloongabba, Brisbane",4,RT Ponting (c),51,43.0,96,1,5,5.2,107
135,"1,2,3,4,5 December 2010 ",2010/11,1982,Pallekele International Cricket Stadium,1,DM Bravo,68,117.0,195,0,0,0.1,303
