Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"6,7,8,9,10 August 2016 ",2016,2214,"Queens Sports Club, Bulawayo",2,Sikandar Raza,3,30.0,45,0,65,35.6,152,CR Ervine,146,272.0,404,0.0,83.0,45.3,246,362
"6,7,8,9,10 August 2016 ",2016,2214,"Queens Sports Club, Bulawayo",3,KS Williamson (c),68,103.0,130,1,24,5.2,25,LRPL Taylor,67,78.0,125,1.0,26.0,6.1,155,166
"6,7,8,9,10 August 2016 ",2016,2214,"Queens Sports Club, Bulawayo",4,Sikandar Raza,0,17.0,37,0,45,16.5,71,DT Tiripano,22,75.0,96,0.0,58.0,24.6,106,132
"9,10,11,12,13 August 2016 ",2016,2215,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,V Kohli (c),3,8.0,17,0,9,2.3,14,AM Rahane,35,133.0,202,0.0,19.0,5.3,104,353
"9,10,11,12,13 August 2016 ",2016,2215,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2,DM Bravo,29,101.0,123,0,59,23.6,102,MN Samuels,48,109.0,124,0.0,129.0,55.4,242,225
"9,10,11,12,13 August 2016 ",2016,2215,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",3,V Kohli (c),4,17.0,21,0,49,7.3,40,AM Rahane,78,116.0,137,1.0,58.0,11.6,82,217
"9,10,11,12,13 August 2016 ",2016,2215,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",4,DM Bravo,59,100.0,178,0,4,3.5,17,MN Samuels,12,27.0,45,0.0,4.0,4.2,195,108
"11,12,13,14 August 2016 ",2016,2216,"Kennington Oval, London",1,JE Root,26,39.0,57,0,23,6.2,33,JM Vince,1,3.0,13,0.0,69.0,16.5,83,328
"11,12,13,14 August 2016 ",2016,2216,"Kennington Oval, London",2,Yasir Shah,26,48.0,73,0,3,1.5,9,Asad Shafiq,109,179.0,245,0.0,52.0,17.3,182,542
"11,12,13,14 August 2016 ",2016,2216,"Kennington Oval, London",3,JE Root,39,46.0,82,0,14,9.2,43,JM Vince,0,3.0,8,0.0,49.0,17.6,88,253
"13,14,15,16,17 August 2016 ",2016,2217,"Sinhalese Sports Club Ground, Colombo",1,MDKJ Perera †,16,32.0,30,0,2,4.4,22,BKG Mendis,1,12.0,26,0.0,21.0,11.6,64,355
"13,14,15,16,17 August 2016 ",2016,2217,"Sinhalese Sports Club Ground, Colombo",2,SPD Smith (c),119,218.0,305,0,21,3.6,13,AC Voges,22,63.0,85,0.0,267.0,82.5,318,379
"13,14,15,16,17 August 2016 ",2016,2217,"Sinhalese Sports Club Ground, Colombo",3,JK Silva,115,269.0,361,0,8,0.4,5,MDKJ Perera †,24,25.0,28,0.0,44.0,13.3,366,347
"13,14,15,16,17 August 2016 ",2016,2217,"Sinhalese Sports Club Ground, Colombo",4,SPD Smith (c),8,14.0,17,0,77,21.4,76,AC Voges,1,2.0,6,0.0,100.0,26.1,109,160
"18,19,20,21,22 August 2016 ",2016,2218,"Queen's Park Oval, Port of Spain, Trinidad",1,DM Bravo,10,10.0,18,0,31,11.1,52,MN Samuels,4,15.0,32,1.0,48.0,14.4,102,62
"19,20,21,22,23 August 2016 ",2016,2219,"Kingsmead, Durban",1,HM Amla,53,71.0,97,0,33,13.6,58,JP Duminy,14,34.0,65,0.0,41.0,16.6,155,263
"19,20,21,22,23 August 2016 ",2016,2219,"Kingsmead, Durban",2,KS Williamson (c),2,16.0,29,1,7,6.2,28,LRPL Taylor,2,10.0,15,1.0,12.0,8.6,41,15
"27,28,29,30 August 2016 ",2016,2220,"SuperSport Park, Centurion",1,HM Amla,58,91.0,134,0,133,38.5,165,JP Duminy,88,158.0,232,0.0,151.0,45.4,201,481
"27,28,29,30 August 2016 ",2016,2220,"SuperSport Park, Centurion",2,KS Williamson (c),77,133.0,284,0,13,3.3,15,LRPL Taylor,1,12.0,27,0.0,13.0,4.3,299,214
"27,28,29,30 August 2016 ",2016,2220,"SuperSport Park, Centurion",3,HM Amla,1,5.0,5,0,31,3.2,15,JP Duminy,0,3.0,2,0.0,32.0,4.2,102,132
"27,28,29,30 August 2016 ",2016,2220,"SuperSport Park, Centurion",4,KS Williamson (c),5,11.0,27,0,0,0.1,1,LRPL Taylor,0,5.0,16,0.0,3.0,0.6,28,195
"22,23,24,25,26 September 2016 ",2016/17,2221,"Green Park, Kanpur",1,CA Pujara,62,109.0,146,0,42,10.6,47,V Kohli (c),9,10.0,12,0.0,154.0,48.4,235,318
"22,23,24,25,26 September 2016 ",2016/17,2221,"Green Park, Kanpur",2,KS Williamson (c),75,137.0,197,0,35,9.3,30,LRPL Taylor,0,2.0,3,0.0,159.0,51.5,220,262
"22,23,24,25,26 September 2016 ",2016/17,2221,"Green Park, Kanpur",3,CA Pujara,78,152.0,219,0,52,18.1,73,V Kohli (c),18,40.0,45,0.0,185.0,56.2,229,377
"22,23,24,25,26 September 2016 ",2016/17,2221,"Green Park, Kanpur",4,KS Williamson (c),25,59.0,61,0,2,3.1,15,LRPL Taylor,17,36.0,71,0.0,3.0,3.5,76,236
"30 September, 1,2,3 October 2016 ",2016/17,2222,"Eden Gardens, Kolkata",1,CA Pujara,87,219.0,278,0,1,1.4,5,V Kohli (c),9,28.0,42,0.0,28.0,11.2,283,316
"30 September, 1,2,3 October 2016 ",2016/17,2222,"Eden Gardens, Kolkata",2,HM Nicholls,1,11.0,23,0,10,1.5,8,LRPL Taylor (c),36,80.0,106,0.0,18.0,2.4,31,204
"30 September, 1,2,3 October 2016 ",2016/17,2222,"Eden Gardens, Kolkata",3,CA Pujara,4,7.0,10,0,12,5.4,30,V Kohli (c),45,65.0,82,0.0,24.0,7.5,56,263
"30 September, 1,2,3 October 2016 ",2016/17,2222,"Eden Gardens, Kolkata",4,HM Nicholls,24,66.0,72,0,55,16.5,68,LRPL Taylor (c),4,28.0,25,0.0,104.0,35.5,208,197
"8,9,10,11 October 2016 ",2016/17,2223,"Holkar Cricket Stadium, Indore",1,CA Pujara,41,108.0,132,0,26,4.5,27,V Kohli (c),211,366.0,536,0.0,60.0,19.5,159,557
"8,9,10,11 October 2016 ",2016/17,2223,"Holkar Cricket Stadium, Indore",2,KS Williamson (c),8,25.0,33,0,118,34.2,136,LRPL Taylor,0,4.0,9,0.0,134.0,42.6,191,299
"8,9,10,11 October 2016 ",2016/17,2223,"Holkar Cricket Stadium, Indore",3,CA Pujara,101,148.0,202,1,34,13.4,64,V Kohli (c),17,28.0,36,0.0,110.0,29.6,266,216
"8,9,10,11 October 2016 ",2016/17,2223,"Holkar Cricket Stadium, Indore",4,KS Williamson (c),27,33.0,40,0,7,1.4,8,LRPL Taylor,32,25.0,25,0.0,42.0,10.6,105,153
"13,14,15,16,17 October 2016 - day/night match ...
Name: 1, dtype: object",2016/17,2224,Dubai International Cricket Stadium,1,Asad Shafiq,67,119.0,174,0,215,67.5,290,Babar Azam,69,105.0,146,0.0,352.0,108.3,658,579
"13,14,15,16,17 October 2016 - day/night match ...
Name: 1, dtype: object",2016/17,2224,Dubai International Cricket Stadium,2,DM Bravo,87,258.0,398,0,42,11.5,55,MN Samuels,76,139.0,188,0.0,69.0,23.6,453,357
"13,14,15,16,17 October 2016 - day/night match ...
Name: 1, dtype: object",2016/17,2224,Dubai International Cricket Stadium,3,Asad Shafiq,5,9.0,15,0,13,2.6,23,Babar Azam,21,38.0,47,0.0,20.0,5.4,117,123
