Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"22,23,24,25 March 2018 ",2017/18,2300,"Newlands, Cape Town",1,HM Amla,31,87.0,128,0,6,3.5,17,AB de Villiers,64,95.0,136,0.0,92.0,32.4,434,311
"22,23,24,25 March 2018 ",2017/18,2300,"Newlands, Cape Town",2,UT Khawaja,5,22.0,25,0,43,5.2,28,SPD Smith (c),5,18.0,19,0.0,61.0,10.3,178,255
"22,23,24,25 March 2018 ",2017/18,2300,"Newlands, Cape Town",3,HM Amla,31,80.0,106,0,28,9.1,43,AB de Villiers,63,136.0,221,0.0,104.0,33.5,216,373
"22,23,24,25 March 2018 ",2017/18,2300,"Newlands, Cape Town",4,UT Khawaja,1,9.0,18,0,57,20.1,88,SPD Smith (c),7,21.0,29,0.0,59.0,23.1,100,107
"30, 31 March, 01, 02, 03 April 2018 ",2017/18,2301,"Hagley Oval, Christchurch",1,JM Vince,18,41.0,61,0,6,2.4,9,JE Root (c),37,63.0,80,0.0,38.0,16.1,160,307
"30, 31 March, 01, 02, 03 April 2018 ",2017/18,2301,"Hagley Oval, Christchurch",2,KS Williamson (c),22,48.0,83,0,0,1.3,6,LRPL Taylor,2,13.0,15,0.0,14.0,4.1,89,278
"30, 31 March, 01, 02, 03 April 2018 ",2017/18,2301,"Hagley Oval, Christchurch",3,JM Vince,76,128.0,179,0,24,8.4,32,JE Root (c),54,128.0,182,0.0,147.0,46.2,185,352
"30, 31 March, 01, 02, 03 April 2018 ",2017/18,2301,"Hagley Oval, Christchurch",4,KS Williamson (c),0,1.0,1,0,42,23.1,90,LRPL Taylor,13,23.0,34,0.0,42.0,23.2,282,256
"30,31 March, 01,02,03 April 2018 ",2017/18,2302,"The Wanderers Stadium, Johannesburg",1,HM Amla,27,81.0,112,0,53,17.6,79,AB de Villiers,69,119.0,173,0.0,142.0,44.4,309,488
"30,31 March, 01,02,03 April 2018 ",2017/18,2302,"The Wanderers Stadium, Johannesburg",2,UT Khawaja,53,84.0,124,0,10,3.2,14,PSP Handscomb,0,1.0,6,0.0,34.0,10.6,138,221
"30,31 March, 01,02,03 April 2018 ",2017/18,2302,"The Wanderers Stadium, Johannesburg",3,HM Amla,16,48.0,51,0,54,18.1,76,AB de Villiers,6,5.0,14,0.0,79.0,31.3,378,344
"30,31 March, 01,02,03 April 2018 ",2017/18,2302,"The Wanderers Stadium, Johannesburg",4,UT Khawaja,7,12.0,20,0,21,12.4,55,PSP Handscomb,24,44.0,77,0.0,34.0,17.2,108,119
"11,12,13,14,15 May 2018 ",2018,2303,"The Village, Malahide, Dublin",1,Haris Sohail,31,66.0,91,0,13,7.6,37,Asad Shafiq,62,121.0,169,0.0,13.0,8.1,128,310
"11,12,13,14,15 May 2018 ",2018,2303,"The Village, Malahide, Dublin",2,A Balbirnie,0,8.0,16,0,5,1.5,9,NJ O'Brien †,0,10.0,12,0.0,5.0,5.1,30,130
"11,12,13,14,15 May 2018 ",2018,2303,"The Village, Malahide, Dublin",3,A Balbirnie,0,4.0,5,0,69,28.5,127,NJ O'Brien †,18,45.0,55,0.0,69.0,29.4,195,339
"11,12,13,14,15 May 2018 ",2018,2303,"The Village, Malahide, Dublin",4,Haris Sohail,7,8.0,13,0,2,0.4,3,Asad Shafiq,1,5.0,6,0.0,13.0,3.4,199,160
"24,25,26,27 May 2018 ",2018,2304,"Lord's, London",1,JE Root (c),4,24.0,46,0,12,3.6,17,DJ Malan,6,3.0,10,0.0,33.0,13.5,221,184
"24,25,26,27 May 2018 ",2018,2304,"Lord's, London",2,Haris Sohail,39,95.0,144,0,12,5.3,25,Asad Shafiq,59,100.0,142,0.0,87.0,36.6,209,363
"24,25,26,27 May 2018 ",2018,2304,"Lord's, London",3,JE Root (c),68,120.0,187,0,1,1.5,8,DJ Malan,12,50.0,83,0.0,31.0,16.5,195,242
"24,25,26,27 May 2018 ",2018,2304,"Lord's, London",4,Haris Sohail,39,32.0,39,1,12,2.3,12,,,,,,,,,
"1,2,3 June 2018 ",2018,2305,"Headingley, Leeds",1,Haris Sohail,28,57.0,86,0,0,1.6,10,Asad Shafiq,27,48.0,72,0.0,17.0,9.1,96,174
"1,2,3 June 2018 ",2018,2305,"Headingley, Leeds",2,JE Root (c),45,72.0,117,0,53,16.6,74,DM Bess,49,95.0,147,0.0,104.0,34.5,153,363
"1,2,3 June 2018 ",2018,2305,"Headingley, Leeds",3,Haris Sohail,8,12.0,13,0,20,4.3,21,Asad Shafiq,5,5.0,14,0.0,30.0,6.6,110,134
"6,7,8,9,10 June 2018 ",2018,2306,"Queen's Park Oval, Port of Spain, Trinidad",1,KOA Powell,38,68.0,94,0,4,2.4,13,SD Hope,44,70.0,130,0.0,40.0,11.5,107,414
"6,7,8,9,10 June 2018 ",2018,2306,"Queen's Park Oval, Port of Spain, Trinidad",2,LD Chandimal (c),44,121.0,183,0,2,0.2,3,AD Mathews,11,15.0,34,0.0,16.0,3.3,186,185
"6,7,8,9,10 June 2018 ",2018,2306,"Queen's Park Oval, Port of Spain, Trinidad",3,KOA Powell,88,127.0,201,0,36,10.3,50,SD Hope,1,6.0,18,0.0,55.0,16.5,251,223
"6,7,8,9,10 June 2018 ",2018,2306,"Queen's Park Oval, Port of Spain, Trinidad",4,LD Chandimal (c),27,83.0,115,0,21,3.3,19,AD Mathews,31,80.0,125,0.0,,,268,226
"14,15 June 2018 ",2018,2307,"M.Chinnaswamy Stadium, Bengaluru",1,KL Rahul,54,64.0,108,0,168,28.4,128,CA Pujara,35,52.0,81,0.0,280.0,51.5,233,474
"14,15 June 2018 ",2018,2307,"M.Chinnaswamy Stadium, Bengaluru",2,Rahmat Shah,14,15.0,22,0,15,3.6,18,Afsar Zazai †,6,10.0,21,0.0,21.0,5.2,25,109
"14,15 June 2018 ",2018,2307,"M.Chinnaswamy Stadium, Bengaluru",3,Rahmat Shah,4,6.0,16,0,19,3.6,21,Mohammad Nabi,0,4.0,4,0.0,22.0,5.1,28,103
"14,15,16,17,18 June 2018 ",2018,2308,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,DM de Silva,12,14.0,,0,0,1.2,,BKG Mendis,45,83.0,,0.0,15.0,5.4,,253
"14,15,16,17,18 June 2018 ",2018,2308,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2,KOA Powell,27,45.0,,0,59,24.4,,SD Hope,19,41.0,,0.0,115.0,40.6,,300
"14,15,16,17,18 June 2018 ",2018,2308,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",3,CAK Rajitha,0,6.0,,0,32,7.4,,DM de Silva,3,15.0,,0.0,34.0,9.4,,342
"14,15,16,17,18 June 2018 ",2018,2308,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",4,KOA Powell,2,2.0,,0,6,3.2,,SD Hope,39,115.0,,0.0,8.0,3.4,,147
"23,24,25,26 June 2018 - day/night match ",2018,2309,"Kensington Oval, Bridgetown, Barbados",1,KOA Powell,4,10.0,,0,3,0.6,,SD Hope,11,49.0,,0.0,8.0,4.3,,204
"23,24,25,26 June 2018 - day/night match ",2018,2309,"Kensington Oval, Bridgetown, Barbados",2,MD Gunathilaka,29,73.0,,0,0,2.3,,BKG Mendis,22,59.0,,0.0,16.0,6.3,,154
"23,24,25,26 June 2018 - day/night match ",2018,2309,"Kensington Oval, Bridgetown, Barbados",3,KOA Powell,7,14.0,,0,1,0.5,,SD Hope,0,2.0,,0.0,8.0,2.6,,93
"23,24,25,26 June 2018 - day/night match ",2018,2309,"Kensington Oval, Bridgetown, Barbados",4,DM de Silva,17,29.0,,0,9,2.3,,BKG Mendis,25,44.0,,0.0,30.0,8.1,,144
"4,5,6 July 2018 ",2018,2310,"Sir Vivian Richards Stadium, North Sound, Antigua",1,Mominul Haque,1,3.0,,0,10,4.6,,Mushfiqur Rahim,0,2.0,,0.0,16.0,6.6,,43
"4,5,6 July 2018 ",2018,2310,"Sir Vivian Richards Stadium, North Sound, Antigua",2,KOA Powell,48,65.0,,0,113,40.4,,D Bishoo,19,79.0,,0.0,194.0,64.1,,406
"4,5,6 July 2018 ",2018,2310,"Sir Vivian Richards Stadium, North Sound, Antigua",3,Mominul Haque,0,2.0,,0,14,3.4,,Mushfiqur Rahim,8,11.0,,0.0,14.0,3.6,,144
"12,13,14 July 2018 ",2018,2311,Galle International Stadium,1,DM de Silva,11,36.0,46,0,44,10.4,49,BKG Mendis,24,36.0,47,0.0,70.0,20.4,360,287
"12,13,14 July 2018 ",2018,2311,Galle International Stadium,2,KA Maharaj,3,12.0,13,0,1,2.4,7,HM Amla,15,36.0,38,0.0,9.0,6.3,30,126
"12,13,14 July 2018 ",2018,2311,Galle International Stadium,3,DM de Silva,9,12.0,19,0,51,17.5,68,BKG Mendis,0,3.0,5,0.0,64.0,21.2,137,190
"12,13,14 July 2018 ",2018,2311,Galle International Stadium,4,HM Amla,0,2.0,6,0,12,5.6,17,T Bavuma,2,17.0,13,0.0,16.0,7.3,47,73
"12,13,14 July 2018 ",2018,2312,"Sabina Park, Kingston, Jamaica",1,KOA Powell,29,49.0,,0,9,8.1,,SD Hope,29,79.0,,0.0,59.0,24.3,,354
"12,13,14 July 2018 ",2018,2312,"Sabina Park, Kingston, Jamaica",2,Mominul Haque,0,2.0,,0,20,6.3,,Shakib Al Hasan (c),32,53.0,,0.0,20.0,6.5,,149
"12,13,14 July 2018 ",2018,2312,"Sabina Park, Kingston, Jamaica",3,KMA Paul,13,31.0,,0,19,8.1,,KOA Powell,18,27.0,,0.0,28.0,12.1,,129
"12,13,14 July 2018 ",2018,2312,"Sabina Park, Kingston, Jamaica",4,Mominul Haque,15,43.0,,0,2,2.1,,Shakib Al Hasan (c),54,81.0,,0.0,40.0,11.5,,168
"20,21,22,23 July 2018 ",2018,2313,"Sinhalese Sports Club Ground, Colombo",1,DM de Silva,60,109.0,191,0,116,34.3,147,BKG Mendis,21,34.0,51,0.0,117.0,36.3,338,338
"20,21,22,23 July 2018 ",2018,2313,"Sinhalese Sports Club Ground, Colombo",2,TB de Bruyn,3,8.0,7,0,4,1.2,5,HM Amla,19,58.0,60,0.0,8.0,3.2,30,124
"20,21,22,23 July 2018 ",2018,2313,"Sinhalese Sports Club Ground, Colombo",3,DM de Silva,0,3.0,10,0,91,18.3,67,BKG Mendis,18,27.0,36,0.0,102.0,20.2,195,275
"20,21,22,23 July 2018 ",2018,2313,"Sinhalese Sports Club Ground, Colombo",4,TB de Bruyn,101,232.0,257,0,23,8.1,26,HM Amla,6,18.0,38,0.0,80.0,23.3,283,290
"1,2,3,4 August 2018 ",2018,2314,"Edgbaston, Birmingham",1,JE Root (c),80,156.0,243,0,26,8.5,38,DJ Malan,8,14.0,23,0.0,98.0,35.1,281,287
"1,2,3,4 August 2018 ",2018,2314,"Edgbaston, Birmingham",2,KL Rahul,4,2.0,5,0,50,13.4,70,V Kohli (c),149,225.0,277,0.0,54.0,13.6,83,274
"1,2,3,4 August 2018 ",2018,2314,"Edgbaston, Birmingham",3,JE Root (c),14,35.0,48,0,9,3.4,14,DJ Malan,20,64.0,81,0.0,18.0,7.4,62,180
"1,2,3,4 August 2018 ",2018,2314,"Edgbaston, Birmingham",4,KL Rahul,13,24.0,46,0,19,5.5,26,V Kohli (c),51,93.0,185,0.0,22.0,7.3,72,162
"9,10,11,12 August 2018 ",2018,2315,"Lord's, London",1,CA Pujara,1,25.0,41,0,0,0.5,3,V Kohli (c),23,57.0,73,0.0,10.0,6.1,44,107
"9,10,11,12 August 2018 ",2018,2315,"Lord's, London",2,JE Root (c),19,53.0,82,0,28,7.3,37,OJ Pope,28,38.0,60,0.0,32.0,8.2,119,396
"9,10,11,12 August 2018 ",2018,2315,"Lord's, London",3,CA Pujara,17,87.0,106,0,0,2.2,10,AM Rahane,13,33.0,55,0.0,13.0,6.1,116,130
"18,19,20,21,22 August 2018 ",2018,2316,"Trent Bridge, Nottingham",1,CA Pujara,14,31.0,40,0,60,18.4,84,V Kohli (c),97,152.0,243,0.0,65.0,20.6,96,329
"18,19,20,21,22 August 2018 ",2018,2316,"Trent Bridge, Nottingham",2,JE Root (c),16,29.0,68,0,54,11.6,55,OJ Pope,10,22.0,34,0.0,54.0,12.1,123,161
"18,19,20,21,22 August 2018 ",2018,2316,"Trent Bridge, Nottingham",3,CA Pujara,72,208.0,248,0,60,11.2,51,V Kohli (c),103,197.0,292,0.0,111.0,23.2,299,352
"18,19,20,21,22 August 2018 ",2018,2316,"Trent Bridge, Nottingham",4,JE Root (c),13,40.0,71,0,27,9.5,46,OJ Pope,16,39.0,63,0.0,32.0,11.6,117,317
"30,31 August, 01,02 September 2018 ",2018,2317,"The Rose Bowl, Southampton",1,JE Root (c),4,14.0,26,0,1,2.1,10,JM Bairstow,6,16.0,33,0.0,15.0,7.1,92,246
"30,31 August, 01,02 September 2018 ",2018,2317,"The Rose Bowl, Southampton",2,CA Pujara,132,257.0,355,1,37,7.2,35,V Kohli (c),46,71.0,100,0.0,50.0,17.5,390,273
"30,31 August, 01,02 September 2018 ",2018,2317,"The Rose Bowl, Southampton",3,MM Ali,9,15.0,19,0,24,12.1,49,JE Root (c),48,88.0,140,0.0,33.0,15.4,138,271
"30,31 August, 01,02 September 2018 ",2018,2317,"The Rose Bowl, Southampton",4,CA Pujara,5,14.0,19,0,4,3.1,13,V Kohli (c),58,130.0,170,0.0,17.0,6.6,42,184
"07,08,09,10,11 September 2018 ",2018,2318,"Kennington Oval, London",1,MM Ali,50,170.0,251,0,60,23.1,99,JE Root (c),0,3.0,4,0.0,133.0,63.2,265,332
"07,08,09,10,11 September 2018 ",2018,2318,"Kennington Oval, London",2,CA Pujara,37,101.0,135,0,6,1.1,7,V Kohli (c),49,70.0,112,0.0,70.0,22.1,142,292
"07,08,09,10,11 September 2018 ",2018,2318,"Kennington Oval, London",3,MM Ali,20,52.0,69,0,27,12.4,55,JE Root (c),125,190.0,264,0.0,62.0,27.4,389,423
"07,08,09,10,11 September 2018 ",2018,2318,"Kennington Oval, London",4,CA Pujara,0,3.0,4,0,1,2.3,11,V Kohli (c),0,1.0,3,0.0,1.0,2.6,348,345
"4,5,6 October 2018 ",2018/19,2319,"Saurashtra Cricket Association Stadium, Rajkot",1,CA Pujara,86,130.0,194,0,3,0.6,6,V Kohli (c),139,230.0,341,0.0,209.0,42.6,238,649
"4,5,6 October 2018 ",2018/19,2319,"Saurashtra Cricket Association Stadium, Rajkot",2,SD Hope,10,22.0,33,0,2,2.2,11,SO Hetmyer,10,28.0,34,0.0,7.0,4.1,44,181
"4,5,6 October 2018 ",2018/19,2319,"Saurashtra Cricket Association Stadium, Rajkot",3,SD Hope,17,34.0,34,0,32,7.6,31,SO Hetmyer,11,11.0,10,0.0,79.0,18.6,128,196
"7,8,9,10,11 October 2018 ",2018/19,2320,Dubai International Cricket Stadium,1,Azhar Ali,18,80.0,105,0,205,62.6,249,Haris Sohail,110,240.0,369,0.0,222.0,69.3,277,482
"7,8,9,10,11 October 2018 ",2018/19,2320,Dubai International Cricket Stadium,2,SE Marsh,7,26.0,37,0,142,51.4,195,MR Marsh,12,48.0,59,0.0,160.0,59.2,244,202
"7,8,9,10,11 October 2018 ",2018/19,2320,Dubai International Cricket Stadium,3,Bilal Asif,0,5.0,6,0,37,12.5,50,Azhar Ali,4,10.0,9,0.0,38.0,13.6,147,181
"7,8,9,10,11 October 2018 ",2018/19,2320,Dubai International Cricket Stadium,4,SE Marsh,0,2.0,1,0,87,29.4,118,MR Marsh,0,4.0,10,0.0,87.0,29.6,522,362
"12,13,14 October 2018 ",2018/19,2321,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,SD Hope,36,68.0,74,0,32,11.1,45,SO Hetmyer,12,34.0,45,0.0,52.0,22.5,85,311
"12,13,14 October 2018 ",2018/19,2321,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,CA Pujara,10,41.0,51,0,61,8.4,52,V Kohli (c),45,78.0,86,0.0,98.0,18.4,95,367
"12,13,14 October 2018 ",2018/19,2321,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,SD Hope,28,42.0,59,0,0,0.2,2,SO Hetmyer,17,29.0,38,0.0,6.0,3.3,61,127
"16,17,18,19 October 2018 ",2018/19,2322,"Sheikh Zayed Stadium, Abu Dhabi",1,Azhar Ali,15,48.0,,0,5,2.6,,Haris Sohail,0,1.0,,0.0,57.0,19.5,,282
"16,17,18,19 October 2018 ",2018/19,2322,"Sheikh Zayed Stadium, Abu Dhabi",2,PM Siddle,4,10.0,,0,16,4.2,,SE Marsh,3,9.0,,0.0,20.0,6.6,,145
"16,17,18,19 October 2018 ",2018/19,2322,"Sheikh Zayed Stadium, Abu Dhabi",3,Azhar Ali,64,141.0,,0,15,4.2,,Haris Sohail,17,63.0,,0.0,106.0,25.5,,400
"16,17,18,19 October 2018 ",2018/19,2322,"Sheikh Zayed Stadium, Abu Dhabi",4,TM Head,36,53.0,-,0,10,1.3,-,MR Marsh,5,5.0,-,0.0,71.0,18.3,--,164
"3,4,5,6 November 2018 ",2018/19,2323,Sylhet International Cricket Stadium,1,BRM Taylor,6,15.0,,0,35,10.4,,SC Williams,88,173.0,,0.0,47.0,16.2,,282
"3,4,5,6 November 2018 ",2018/19,2323,Sylhet International Cricket Stadium,2,Mominul Haque,11,38.0,,0,8,3.5,,Najmul Hossain Shanto,5,5.0,,0.0,14.0,8.3,,143
"3,4,5,6 November 2018 ",2018/19,2323,Sylhet International Cricket Stadium,3,BRM Taylor,24,25.0,,0,19,12.2,,SC Williams,20,65.0,,0.0,47.0,18.2,,181
"3,4,5,6 November 2018 ",2018/19,2323,Sylhet International Cricket Stadium,4,Mominul Haque,9,13.0,,0,56,22.6,,Mahmudullah (c),16,45.0,,0.0,67.0,27.3,,169
"6,7,8,9 November 2018 ",2018/19,2324,Galle International Stadium,1,MM Ali,0,1.0,,0,10,2.3,,JE Root (c),35,46.0,,0.0,10.0,2.4,,342
"6,7,8,9 November 2018 ",2018/19,2324,Galle International Stadium,2,DM de Silva,14,47.0,,0,4,0.2,,BKG Mendis,19,32.0,,0.0,10.0,3.3,,203
"6,7,8,9 November 2018 ",2018/19,2324,Galle International Stadium,3,MM Ali,3,11.0,,0,60,22.6,,JE Root (c),3,19.0,,0.0,67.0,26.3,,322
"6,7,8,9 November 2018 ",2018/19,2324,Galle International Stadium,4,DM de Silva,21,44.0,,0,51,22.3,,BKG Mendis,45,77.0,,0.0,59.0,25.2,,250
"11,12,13,14,15 November 2018 ",2018/19,2325,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Mominul Haque,161,247.0,,0,13,6.4,,Mohammad Mithun,0,4.0,,0.0,16.0,8.5,,522
"11,12,13,14,15 November 2018 ",2018/19,2325,"Shere Bangla National Stadium, Mirpur, Dhaka",2,DT Tiripano,8,46.0,-,0,20,14.1,-,BRM Taylor,110,194.0,-,0.0,40.0,28.4,--,304
"11,12,13,14,15 November 2018 ",2018/19,2325,"Shere Bangla National Stadium, Mirpur, Dhaka",3,Mominul Haque,1,5.0,,0,9,4.1,,Mohammad Mithun,67,110.0,,0.0,10.0,4.3,,224
"11,12,13,14,15 November 2018 ",2018/19,2325,"Shere Bangla National Stadium, Mirpur, Dhaka",4,BRM Taylor,106,167.0,-,1,68,22.6,-,SC Williams,13,33.0,-,0.0,70.0,25.4,--,224
"14, 15, 16, 17, 18 November 2018 ",2018/19,2326,Pallekele International Cricket Stadium,1,BA Stokes,19,27.0,,0,12,4.3,,JE Root (c),14,23.0,,0.0,49.0,13.2,,290
"14, 15, 16, 17, 18 November 2018 ",2018/19,2326,Pallekele International Cricket Stadium,2,PM Pushpakumara,4,22.0,,0,22,7.4,,DM de Silva,59,98.0,,0.0,31.0,14.4,,336
"14, 15, 16, 17, 18 November 2018 ",2018/19,2326,Pallekele International Cricket Stadium,3,KK Jennings,26,54.0,,0,4,2.3,,JE Root (c),124,146.0,,0.0,77.0,19.1,,346
"14, 15, 16, 17, 18 November 2018 ",2018/19,2326,Pallekele International Cricket Stadium,4,DM de Silva,1,10.0,,0,14,3.3,,BKG Mendis,1,7.0,,0.0,16.0,5.3,,243
"16,17,18.19 November 2018 ",2018/19,2327,"Sheikh Zayed Stadium, Abu Dhabi",1,KS Williamson (c),63,112.0,,0,20,10.2,,LRPL Taylor,2,14.0,,0.0,35.0,14.4,,153
"16,17,18.19 November 2018 ",2018/19,2327,"Sheikh Zayed Stadium, Abu Dhabi",2,Azhar Ali,22,95.0,,0,27,7.3,,Haris Sohail,38,76.0,,0.0,27.0,8.3,,227
"16,17,18.19 November 2018 ",2018/19,2327,"Sheikh Zayed Stadium, Abu Dhabi",3,KS Williamson (c),37,91.0,,0,0,1.1,,LRPL Taylor,19,19.0,,0.0,86.0,33.4,,249
"16,17,18.19 November 2018 ",2018/19,2327,"Sheikh Zayed Stadium, Abu Dhabi",4,Azhar Ali,65,136.0,,0,40,12.3,,Haris Sohail,4,3.0,,0.0,44.0,13.1,,171
"22,23,24 November 2018 ",2018/19,2328,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,Mominul Haque,120,167.0,250,0,1,0.3,2,Mohammad Mithun,20,50.0,68,0.0,105.0,26.5,252,324
"22,23,24 November 2018 ",2018/19,2328,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,SD Hope,1,4.0,5,0,29,10.1,44,SW Ambris,19,69.0,75,0.0,30.0,11.1,54,246
"22,23,24 November 2018 ",2018/19,2328,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,Mominul Haque,12,11.0,26,0,13,1.5,7,Mohammad Mithun,17,35.0,50,0.0,13.0,2.4,33,125
"22,23,24 November 2018 ",2018/19,2328,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,SD Hope,3,6.0,7,0,5,2.4,7,SW Ambris,43,62.0,130,0.0,11.0,4.5,20,139
"23.24.25,26 November 2018 ",2018/19,2329,"Sinhalese Sports Club Ground, Colombo",1,JM Bairstow,110,186.0,,0,22,7.5,,JE Root (c),46,79.0,,0.0,36.0,10.5,,336
"23.24.25,26 November 2018 ",2018/19,2329,"Sinhalese Sports Club Ground, Colombo",2,DM de Silva,73,129.0,,0,31,11.4,,BKG Mendis,27,36.0,,0.0,173.0,47.3,,240
"23.24.25,26 November 2018 ",2018/19,2329,"Sinhalese Sports Club Ground, Colombo",3,JM Bairstow,15,31.0,,0,3,4.1,,JE Root (c),7,9.0,,0.0,20.0,10.1,,230
"23.24.25,26 November 2018 ",2018/19,2329,"Sinhalese Sports Club Ground, Colombo",4,DM de Silva,0,7.0,,0,15,5.5,,BKG Mendis,86,129.0,,0.0,24.0,8.3,,284
"24,25,26,27 November 2018 ",2018/19,2330,Dubai International Cricket Stadium,1,Azhar Ali,81,187.0,,0,18,7.2,,Haris Sohail,147,421.0,,0.0,25.0,9.4,,418
"24,25,26,27 November 2018 ",2018/19,2330,Dubai International Cricket Stadium,2,KS Williamson (c),28,37.0,,1,50,21.4,,LRPL Taylor,0,2.0,,0.0,61.0,27.1,,90
"24,25,26,27 November 2018 ",2018/19,2330,Dubai International Cricket Stadium,3,KS Williamson (c),30,41.0,,0,10,8.1,,LRPL Taylor,82,128.0,,0.0,66.0,26.2,,312
"30 November, 1,2 December 2018 ",2018/19,2331,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Mominul Haque,29,46.0,,0,42,15.3,,Mohammad Mithun,29,61.0,,0.0,87.0,33.5,,508
"30 November, 1,2 December 2018 ",2018/19,2331,"Shere Bangla National Stadium, Mirpur, Dhaka",2,SD Hope,10,30.0,,0,0,0.6,,SW Ambris,7,12.0,,0.0,6.0,5.3,,111
"30 November, 1,2 December 2018 ",2018/19,2331,"Shere Bangla National Stadium, Mirpur, Dhaka",3,SD Hope,25,75.0,,0,2,0.5,,SW Ambris,4,20.0,,0.0,14.0,3.6,,213
"3,4,5,6,7 December 2018 ",2018/19,2332,"Sheikh Zayed Stadium, Abu Dhabi",1,KS Williamson (c),89,176.0,,0,24,5.4,,LRPL Taylor,0,1.0,,0.0,70.0,22.2,,274
"3,4,5,6,7 December 2018 ",2018/19,2332,"Sheikh Zayed Stadium, Abu Dhabi",2,Azhar Ali,134,297.0,,0,0,1.4,,Haris Sohail,34,91.0,,0.0,17.0,5.2,,348
"3,4,5,6,7 December 2018 ",2018/19,2332,"Sheikh Zayed Stadium, Abu Dhabi",3,KS Williamson (c),139,283.0,,0,1,3.4,,WER Somerville,4,34.0,,0.0,24.0,11.4,,353
"3,4,5,6,7 December 2018 ",2018/19,2332,"Sheikh Zayed Stadium, Abu Dhabi",4,Azhar Ali,5,14.0,,0,19,6.4,,Haris Sohail,9,28.0,,0.0,32.0,11.3,,156
"06,07,08,09,10 December 2018 ",2018/19,2333,Adelaide Oval,1,CA Pujara,123,246.0,376,0,3,1.6,10,V Kohli (c),3,16.0,17,0.0,15.0,6.6,386,250
"06,07,08,09,10 December 2018 ",2018/19,2333,Adelaide Oval,2,UT Khawaja,28,125.0,162,0,0,0.3,3,SE Marsh,2,19.0,25,0.0,45.0,21.1,165,235
"06,07,08,09,10 December 2018 ",2018/19,2333,Adelaide Oval,3,CA Pujara,71,204.0,293,0,63,18.2,86,V Kohli (c),34,104.0,132,0.0,76.0,24.2,379,307
"06,07,08,09,10 December 2018 ",2018/19,2333,Adelaide Oval,4,UT Khawaja,8,42.0,45,0,28,11.6,54,SE Marsh,60,166.0,232,0.0,44.0,16.2,73,291
"14,15,16,17,18 December 2018 ",2018/19,2334,Perth Stadium,1,UT Khawaja,5,38.0,50,0,112,35.2,163,SE Marsh,45,98.0,120,0.0,130.0,45.6,224,326
"14,15,16,17,18 December 2018 ",2018/19,2334,Perth Stadium,2,CA Pujara,24,103.0,151,0,6,2.6,14,V Kohli (c),123,257.0,373,0.0,8.0,5.1,165,283
"14,15,16,17,18 December 2018 ",2018/19,2334,Perth Stadium,3,UT Khawaja,72,213.0,297,0,59,17.2,64,SE Marsh,5,11.0,16,0.0,64.0,20.5,361,243
"14,15,16,17,18 December 2018 ",2018/19,2334,Perth Stadium,4,CA Pujara,4,11.0,15,0,0,0.4,5,V Kohli (c),17,40.0,64,0.0,13.0,3.5,95,140
"15,16,17,18 19 December 2018 ",2018/19,2335,"Basin Reserve, Wellington",1,DM de Silva,1,7.0,7,0,5,1.6,8,BKG Mendis,2,4.0,4,0.0,7.0,3.2,200,282
"15,16,17,18 19 December 2018 ",2018/19,2335,"Basin Reserve, Wellington",2,KS Williamson (c),91,93.0,169,0,59,22.6,101,LRPL Taylor,50,88.0,102,0.0,221.0,59.3,694,578
"15,16,17,18 19 December 2018 ",2018/19,2335,"Basin Reserve, Wellington",3,DM de Silva,0,5.0,7,0,5,3.3,14,BKG Mendis,141,335.0,455,1.0,10.0,4.5,30,287
"26,27,28,29,30 December 2018 ",2018/19,2336,"Hagley Oval, Christchurch",1,KS Williamson (c),2,18.0,31,0,16,8.3,42,LRPL Taylor,27,46.0,76,0.0,17.0,10.1,51,178
"26,27,28,29,30 December 2018 ",2018/19,2336,"Hagley Oval, Christchurch",2,LD Chandimal (c),6,9.0,10,0,10,5.2,20,BKG Mendis,15,32.0,46,0.0,20.0,7.2,41,104
"26,27,28,29,30 December 2018 ",2018/19,2336,"Hagley Oval, Christchurch",3,KS Williamson (c),48,75.0,92,0,121,47.6,199,LRPL Taylor,40,44.0,64,0.0,189.0,70.1,574,585
"26,27,28,29,30 December 2018 ",2018/19,2336,"Hagley Oval, Christchurch",4,LD Chandimal (c),56,228.0,324,0,1,0.6,3,BKG Mendis,67,147.0,225,0.0,9.0,1.5,327,236
